Sample Id,Site,Sample Start Date,Date,Start Time,Time,Analyte,Status,Final Result,Units,Water Treatment Plant,WTP Group,SPDES Number
E-1905679-02A,WATCHTOWER SOCIETY,,1/21/2020,,10:59,"Phosphorus, Total (as P)",Done,268,µg/L,,Non-City Owned,NY0165778
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,"Phosphorus, Total (as P)",Done,62,µg/L,,Non-City Owned,NY0148946
K-2000039-02,STE,1/21/2020,1/21/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,9,µg/L,Tannersville,City Owned - Effluent,NY0026573
K-2000039-05,SGE,1/21/2020,1/21/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,9,µg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-2000039-10,MSC,1/21/2020,1/21/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,45,µg/L,Margaretville,City Owned - Effluent,NY0026531
K-2000039-12,EPE,1/21/2020,1/21/2020,9:00,15:00,"Phosphorus, Total (as P)",Done,12,µg/L,Pine Hill,City Owned - Effluent,NY0026557
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,Dissolved Oxygen,Done,11.4,mg/L,,Non-City Owned,NY0265080
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,pH,Done,8.36,,,Non-City Owned,NY0265080
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,Temperature,Done,10.7,C,,Non-City Owned,NY0265080
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,"Coliform, Fecal",Done,<1,FC/100mL,,Non-City Owned,NY0265080
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0265080
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,Dissolved Oxygen,Done,9.7,mg/L,,Non-City Owned,NY0165778
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,pH,Done,7.64,,,Non-City Owned,NY0165778
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,Temperature,Done,13.9,C,,Non-City Owned,NY0165778
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,"Coliform, Fecal",Done,<1,FC/100mL,,Non-City Owned,NY0165778
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0165778
E-1905679-03,BIG BIRCH SKI AREA,,1/21/2020,,11:32,pH,Done,7.38,,,Non-City Owned,NY0095982
E-1905679-03,BIG BIRCH SKI AREA,,1/21/2020,,11:32,"Coliform, Fecal",Done,510,FC/100mL,,Non-City Owned,NY0095982
E-1905679-03,BIG BIRCH SKI AREA,,1/21/2020,,11:32,CBOD,Done,21.8,mg/L,,Non-City Owned,NY0095982
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,Dissolved Oxygen,Done,11.2,mg/L,,Non-City Owned,NY0148946
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,pH,Done,7.65,,,Non-City Owned,NY0148946
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,Temperature,Warning,9.4,C,,Non-City Owned,NY0148946
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,"Coliform, Fecal",Done,E10,FC/100mL,,Non-City Owned,NY0148946
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0148946
K-2000039-04,SGR,1/21/2020,1/21/2020,9:00,15:00,CBOD,Done,61.2,mg/L,Grand Gorge,City Owned - Influent,NY0026565
K-2000039-05,SGE,1/21/2020,1/21/2020,9:00,15:00,CBOD,Done,<3.0,mg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-2000039-07,EPR,1/21/2020,1/21/2020,9:00,15:00,BOD,Done,75.6,mg/L,Pine Hill,City Owned - Influent,NY0026557
K-2000039-09,MSR,1/21/2020,1/21/2020,9:00,15:00,CBOD,Done,130,mg/L,Margaretville,City Owned - Influent,NY0026531
K-2000039-10,MSC,1/21/2020,1/21/2020,9:00,15:00,CBOD,Done,<3.0,mg/L,Margaretville,City Owned - Effluent,NY0026531
K-2000039-12,EPE,1/21/2020,1/21/2020,9:00,15:00,BOD,Done,<3.0,mg/L,Pine Hill,City Owned - Effluent,NY0026557
K-2000039-01,STR,1/21/2020,1/21/2020,9:00,15:00,CBOD,Done,133,mg/L,Tannersville,City Owned - Influent,NY0026573
K-2000039-02,STE,1/21/2020,1/21/2020,9:00,15:00,CBOD,Done,<3.0,mg/L,Tannersville,City Owned - Effluent,NY0026573
K-2000039-05,SGE,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.0,mg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-2000039-07,EPR,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,93,mg/L,Pine Hill,City Owned - Influent,NY0026557
K-2000039-09,MSR,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,213,mg/L,Margaretville,City Owned - Influent,NY0026531
K-2000039-10,MSC,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.1,mg/L,Margaretville,City Owned - Effluent,NY0026531
K-2000039-12,EPE,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.1,mg/L,Pine Hill,City Owned - Effluent,NY0026557
K-2000039-01,STR,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,261,mg/L,Tannersville,City Owned - Influent,NY0026573
K-2000039-02,STE,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,<1.0,mg/L,Tannersville,City Owned - Effluent,NY0026573
K-2000039-04,SGR,1/21/2020,1/21/2020,9:00,15:00,"Solids, Total Suspended",Done,50,mg/L,Grand Gorge,City Owned - Influent,NY0026565
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0265080
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,"Chlorine Residual, Total",Done,<0.05,mg/L,,Non-City Owned,NY0265080
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,"Solids, Total Suspended",Done,<1.1,mg/L,,Non-City Owned,NY0165778
E-1905679-03,BIG BIRCH SKI AREA,,1/21/2020,,11:32,"Solids, Total Suspended",Done,2.5,mg/L,,Non-City Owned,NY0095982
E-1905679-03,BIG BIRCH SKI AREA,,1/21/2020,,11:32,"Chlorine Residual, Total",Done,1.44,mg/L,,Non-City Owned,NY0095982
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0148946
K-2000039-02,STE,1/21/2020,1/21/2020,9:00,15:00,Ammonia (as NH3),Done,<0.20,mg/L,Tannersville,City Owned - Effluent,NY0026573
K-2000039-05,SGE,1/21/2020,1/21/2020,9:00,15:00,Ammonia (as NH3),Done,<0.20,mg/L,Grand Gorge,City Owned - Effluent,NY0026565
K-2000039-10,MSC,1/21/2020,1/21/2020,9:00,15:00,Ammonia (as NH3),Done,<0.20,mg/L,Margaretville,City Owned - Effluent,NY0026531
K-2000039-12,EPE,1/21/2020,1/21/2020,9:00,15:00,Ammonia (as NH3),Done,1.24,mg/L,Pine Hill,City Owned - Effluent,NY0026557
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0265080
E-1905679-01,PATTERSON HAMLET,,1/21/2020,,12:15,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0265080
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0165778
E-1905679-02,WATCHTOWER SOCIETY,,1/21/2020,,10:59,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0165778
E-1905679-03,BIG BIRCH SKI AREA,,1/21/2020,,11:32,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0095982
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0148946
E-1905679-05,MOUNT EBO,,1/21/2020,,10:22,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0148946
G-2000184-01,CWDB,,1/22/2020,,9:58,"Solids, Settleable",Done,<0.1,mL/L,Cannonsville,Non-City Owned,NY0097446
G-2000184-01,CWDB,,1/22/2020,,9:58,Ammonia (as NH3),Done,0.6,mg/L,Cannonsville,Non-City Owned,NY0097446
G-2000184-02,DTP,,1/22/2020,,11:36,"Solids, Settleable",Done,<0.1,mL/L,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,Ammonia (as NH3),Done,<0.20,mg/L,DELHI,Non-City Owned,NY0020265
G-2000184-03,PANDE,,1/22/2020,,12:18,"Solids, Settleable",Done,<0.1,mL/L,Pepacton,Non-City Owned,NY0262854
G-2000184-03,PANDE,,1/22/2020,,12:18,Ammonia (as NH3),Done,<0.20,mg/L,Pepacton,Non-City Owned,NY0262854
G-2000184-04,WSP,,1/22/2020,,10:50,"Solids, Settleable",Done,<0.1,mL/L,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,Ammonia (as NH3),Done,<0.20,mg/L,WALTON,Non-City Owned,NY0027154
K-2000281-01,Ashland WTP,,1/22/2020,,,"Solids, Settleable",Cancel,Cancel,mL/L,Ashland WTP,Non-City Owned,NY0263214
K-2000281-01,Ashland WTP,,1/22/2020,,,Ammonia (as NH3),Cancel,Cancel,mg/L,Ashland WTP,Non-City Owned,NY0263214
G-2000184-01,CWDB,,1/22/2020,,9:58,"Solids, Total Suspended",Done,<1.0,mg/L,Cannonsville,Non-City Owned,NY0097446
G-2000184-02,DTP,,1/22/2020,,11:36,"Solids, Total Suspended",Done,7.5,mg/L,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,"Chlorine Residual, Total",Done,<0.04,mg/L,DELHI,Non-City Owned,NY0020265
G-2000184-03,PANDE,,1/22/2020,,12:18,"Solids, Total Suspended",Done,<1.0,mg/L,Pepacton,Non-City Owned,NY0262854
G-2000184-04,WSP,,1/22/2020,,10:50,"Solids, Total Suspended",Done,<1.0,mg/L,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,"Chlorine Residual, Total",Done,<0.04,mg/L,WALTON,Non-City Owned,NY0027154
G-2000184-05,HCITP,,1/22/2020,,12:58,"Solids, Total Suspended",Done,<1.1,mg/L,Pepacton,Non-City Owned,NY0249777
G-2000072-01,PJ1,1/21/2020,1/22/2020,7:00,7:00,"Solids, Total Suspended",Done,125,mg/L,Port Jervis,City Owned - Influent,NY0026522
G-2000072-02,PJ9,1/21/2020,1/22/2020,7:00,7:00,"Solids, Total Suspended",Done,7.6,mg/L,Port Jervis,City Owned - Effluent,NY0026522
K-2000281-01,Ashland WTP,,1/22/2020,,,"Solids, Total Suspended",Cancel,Cancel,mg/L,Ashland WTP,Non-City Owned,NY0263214
K-2000039-03,STEG,,1/22/2020,,8:43,"Coliform, Fecal",Done,<1,FC/100mL,Tannersville,City Owned - Effluent,NY0026573
K-2000039-11,MSC,,1/22/2020,,8:57,"Coliform, Fecal",Done,<1,FC/100mL,Margaretville,City Owned - Effluent,NY0026531
K-2000039-08,EPEG,,1/22/2020,,9:00,"Coliform, Fecal",Done,<1,FC/100mL,Pine Hill,City Owned - Effluent,NY0026557
K-2000039-06,SGEG,,1/22/2020,,9:00,"Coliform, Fecal",Done,<1,FC/100mL,Grand Gorge,City Owned - Effluent,NY0026565
G-2000072-01,PJ1,1/21/2020,1/22/2020,7:00,7:00,BOD,Done,173,mg/L,Port Jervis,City Owned - Influent,NY0026522
G-2000072-02,PJ9,1/21/2020,1/22/2020,7:00,7:00,BOD,Done,10.1,mg/L,Port Jervis,City Owned - Effluent,NY0026522
G-2000072-03,PJ9,,1/22/2020,,7:00,"Coliform, Fecal",Done,<2,FC/100mL,Port Jervis,City Owned - Effluent,NY0026522
K-2000281-01,Ashland WTP,,1/22/2020,,,Dissolved Oxygen,Cancel,Cancel,mg/L,Ashland WTP,Non-City Owned,NY0263214
K-2000281-01,Ashland WTP,,1/22/2020,,,pH,Cancel,Cancel,,Ashland WTP,Non-City Owned,NY0263214
K-2000281-01,Ashland WTP,,1/22/2020,,,Temperature,Cancel,Cancel,C,Ashland WTP,Non-City Owned,NY0263214
K-2000281-01,Ashland WTP,,1/22/2020,,,"Coliform, Fecal",Cancel,Cancel,FC/100mL,Ashland WTP,Non-City Owned,NY0263214
K-2000281-01,Ashland WTP,,1/22/2020,,,BOD,Cancel,Cancel,mg/L,Ashland WTP,Non-City Owned,NY0263214
G-2000184-01,CWDB,,1/22/2020,,9:58,Dissolved Oxygen,Done,5.6,mg/L,Cannonsville,Non-City Owned,NY0097446
G-2000184-01,CWDB,,1/22/2020,,9:58,pH,Done,7.24,,Cannonsville,Non-City Owned,NY0097446
G-2000184-01,CWDB,,1/22/2020,,9:58,Temperature,Done,24.1,C,Cannonsville,Non-City Owned,NY0097446
G-2000184-01,CWDB,,1/22/2020,,9:58,"Coliform, Fecal",Done,<1,FC/100mL,Cannonsville,Non-City Owned,NY0097446
G-2000184-01,CWDB,,1/22/2020,,9:58,CBOD,Done,<3.0,mg/L,Cannonsville,Non-City Owned,NY0097446
G-2000184-01,CWDB,,1/22/2020,,9:58,"Solids, Total Dissolved",Warning,1300,mg/L,Cannonsville,Non-City Owned,NY0097446
G-2000184-02,DTP,,1/22/2020,,11:36,Dissolved Oxygen,Done,9.5,mg/L,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,pH,Done,7.51,,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,Temperature,Done,12.5,C,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,"Coliform, Fecal",Done,<1,FC/100mL,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,CBOD,Done,<3.0,mg/L,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,Total Kjeldahl Nitrogen,Warning,0.67,,DELHI,Non-City Owned,NY0020265
G-2000184-03,PANDE,,1/22/2020,,12:18,Dissolved Oxygen,Done,11.5,mg/L,Pepacton,Non-City Owned,NY0262854
G-2000184-03,PANDE,,1/22/2020,,12:18,pH,Done,7.8,,Pepacton,Non-City Owned,NY0262854
G-2000184-03,PANDE,,1/22/2020,,12:18,Temperature,Done,7.6,C,Pepacton,Non-City Owned,NY0262854
G-2000184-03,PANDE,,1/22/2020,,12:18,"Coliform, Fecal",Done,<1,FC/100mL,Pepacton,Non-City Owned,NY0262854
G-2000184-03,PANDE,,1/22/2020,,12:18,BOD,Done,<3.0,mg/L,Pepacton,Non-City Owned,NY0262854
G-2000184-04,WSP,,1/22/2020,,10:50,Dissolved Oxygen,Done,9.9,mg/L,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,pH,Done,7.44,,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,Temperature,Done,14,C,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,"Coliform, Fecal",Done,E1,FC/100mL,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,CBOD,Done,3.4,mg/L,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,Total Kjeldahl Nitrogen,Warning,0.52,,WALTON,Non-City Owned,NY0027154
G-2000184-05,HCITP,,1/22/2020,,12:58,Dissolved Oxygen,Done,11.7,mg/L,Pepacton,Non-City Owned,NY0249777
G-2000184-05,HCITP,,1/22/2020,,12:58,pH,Done,7.23,,Pepacton,Non-City Owned,NY0249777
G-2000184-05,HCITP,,1/22/2020,,12:58,Temperature,Done,3.7,C,Pepacton,Non-City Owned,NY0249777
G-2000184-01,CWDB,,1/22/2020,,9:58,Turbidity,Done,0.5,NTU,Cannonsville,Non-City Owned,NY0097446
G-2000184-01,CWDB,,1/22/2020,,9:58,"Phosphorus, Total (as P)",Done,82,µg/L,Cannonsville,Non-City Owned,NY0097446
G-2000184-02,DTP,,1/22/2020,,11:36,Turbidity,Done,1.1,NTU,DELHI,Non-City Owned,NY0020265
G-2000184-02,DTP,,1/22/2020,,11:36,"Phosphorus, Total (as P)",Done,95,µg/L,DELHI,Non-City Owned,NY0020265
G-2000184-03,PANDE,,1/22/2020,,12:18,Turbidity,Done,<0.1,NTU,Pepacton,Non-City Owned,NY0262854
G-2000184-03,PANDE,,1/22/2020,,12:18,"Phosphorus, Total (as P)",Done,22,µg/L,Pepacton,Non-City Owned,NY0262854
G-2000184-04,WSP,,1/22/2020,,10:50,Turbidity,Done,0.1,NTU,WALTON,Non-City Owned,NY0027154
G-2000184-04,WSP,,1/22/2020,,10:50,"Phosphorus, Total (as P)",Done,7,µg/L,WALTON,Non-City Owned,NY0027154
G-2000184-05,HCITP,,1/22/2020,,12:58,"Phosphorus, Total (as P)",Done,124,µg/L,Pepacton,Non-City Owned,NY0249777
K-2000281-01,Ashland WTP,,1/22/2020,,,Turbidity,Cancel,Cancel,NTU,Ashland WTP,Non-City Owned,NY0263214
K-2000281-01,Ashland WTP,,1/22/2020,,,"Phosphorus, Total (as P)",Cancel,Cancel,µg/L,Ashland WTP,Non-City Owned,NY0263214
E-2000327-01,K.A.K.,,1/23/2020,,,"Phosphorus, Total (as P)",Cancel,Cancel,µg/L,,Non-City Owned,NY0147249
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,"Phosphorus, Total (as P)",Done,232,µg/L,,Non-City Owned,NY0110353
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,"Phosphorus, Total (as P)",Cancel,Cancel,µg/L,,Non-City Owned,NY0147087
K-2000317-01,KNGCMT,,1/23/2020,,9:04,pH,Cancel,Cancel,,Kingston Facility,City Owned - Effluent,
K-2000317-01,KNGCMT,,1/23/2020,,9:04,Temperature,Cancel,Cancel,C,Kingston Facility,City Owned - Effluent,
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0110353
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,Dissolved Oxygen,Cancel,Cancel,mg/L,,Non-City Owned,NY0147087
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,pH,Cancel,Cancel,,,Non-City Owned,NY0147087
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,Temperature,Cancel,Cancel,C,,Non-City Owned,NY0147087
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,"Coliform, Fecal",Cancel,Cancel,FC/100mL,,Non-City Owned,NY0147087
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,CBOD,Cancel,Cancel,mg/L,,Non-City Owned,NY0147087
E-2000327-01,K.A.K.,,1/23/2020,,,Dissolved Oxygen,Cancel,Cancel,mg/L,,Non-City Owned,NY0147249
E-2000327-01,K.A.K.,,1/23/2020,,,pH,Cancel,Cancel,,,Non-City Owned,NY0147249
E-2000327-01,K.A.K.,,1/23/2020,,,Temperature,Cancel,Cancel,C,,Non-City Owned,NY0147249
E-2000327-01,K.A.K.,,1/23/2020,,,"Coliform, Fecal",Cancel,Cancel,FC/100mL,,Non-City Owned,NY0147249
E-2000327-01,K.A.K.,,1/23/2020,,,CBOD,Cancel,Cancel,mg/L,,Non-City Owned,NY0147249
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,Dissolved Oxygen,Done,13.5,mg/L,,Non-City Owned,NY0110353
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,pH,Done,7.35,,,Non-City Owned,NY0110353
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,Temperature,Warning,5.1,C,,Non-City Owned,NY0110353
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,"Coliform, Fecal",Done,E1,FC/100mL,,Non-City Owned,NY0110353
E-2000327-01,K.A.K.,,1/23/2020,,,"Solids, Total Suspended",Cancel,Cancel,mg/L,,Non-City Owned,NY0147249
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0110353
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,"Solids, Total Suspended",Cancel,Cancel,mg/L,,Non-City Owned,NY0147087
K-2000317-01,KNGCMT,,1/23/2020,,9:04,"Copper, Total",Cancel,Cancel,µg/L,Kingston Facility,City Owned - Effluent,
E-2000327-01,K.A.K.,,1/23/2020,,,"Solids, Settleable",Cancel,Cancel,mL/L,,Non-City Owned,NY0147249
E-2000327-01,K.A.K.,,1/23/2020,,,Ammonia (as NH3),Cancel,Cancel,mg/L,,Non-City Owned,NY0147249
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,"Solids, Settleable",Done,<0.1,mL/L,,Non-City Owned,NY0110353
E-2000327-03,BREWSTER HEIGHTS,,1/23/2020,,10:37,Ammonia (as NH3),Done,<0.30,mg/L,,Non-City Owned,NY0110353
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,"Solids, Settleable",Cancel,Cancel,mL/L,,Non-City Owned,NY0147087
E-2000327-04,YESHIVA K.Y.,,1/23/2020,,,Ammonia (as NH3),Cancel,Cancel,mg/L,,Non-City Owned,NY0147087
K-2000250-01,Windham WTP,,1/27/2020,,10:00,Ceriodaphnia dubia,Done,1,TUc,Windham WTP,Non-City Owned,NY0262935
K-2000250-01,Windham WTP,,1/27/2020,,10:00,Pimephales promelas,Warning,NE,TUc,Windham WTP,Non-City Owned,NY0262935
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,"Solids, Settleable",Cancel,Cancel,mL/L,,Non-City Owned,NY0098621
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,Ammonia (as NH3),Cancel,Cancel,mg/L,,Non-City Owned,NY0098621
E-2000367-01,HAW LAB ANT,,1/28/2020,,9:58,pH,Done,6.65,,,City Owned - Effluent,
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,"Solids, Total Suspended",Cancel,Cancel,mg/L,,Non-City Owned,NY0098621
K-2000355-01,Hunter WTP,,1/28/2020,,11:58,Cryptosporidium,Done,0,Per/L,Hunter WTP,Non-City Owned,NY0241075
K-2000355-01,Hunter WTP,,1/28/2020,,11:58,Giardia,Done,0.02,Per/L,Hunter WTP,Non-City Owned,NY0241075
K-2000355-02,Prattsville WTP,,1/28/2020,,10:15,Cryptosporidium,Done,0,Per/L,Prattsville WTP,Non-City Owned,NY0263028
K-2000355-02,Prattsville WTP,,1/28/2020,,10:15,Giardia,Done,0,Per/L,Prattsville WTP,Non-City Owned,NY0263028
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,Dissolved Oxygen,Cancel,Cancel,mg/L,,Non-City Owned,NY0098621
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,pH,Cancel,Cancel,,,Non-City Owned,NY0098621
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,Temperature,Cancel,Cancel,C,,Non-City Owned,NY0098621
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,"Coliform, Fecal",Cancel,Cancel,FC/100mL,,Non-City Owned,NY0098621
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,CBOD,Cancel,Cancel,mg/L,,Non-City Owned,NY0098621
K-2000355-01,Hunter WTP,,1/28/2020,,11:58,pH,Done,6.8,,Hunter WTP,Non-City Owned,NY0241075
K-2000355-01,Hunter WTP,,1/28/2020,,11:58,Temperature,Done,6.7,C,Hunter WTP,Non-City Owned,NY0241075
K-2000355-02,Prattsville WTP,,1/28/2020,,10:15,pH,Done,7.01,,Prattsville WTP,Non-City Owned,NY0263028
K-2000355-02,Prattsville WTP,,1/28/2020,,10:15,Temperature,Done,11.9,C,Prattsville WTP,Non-City Owned,NY0263028
E-2000339-01,CLEAR POOL CAMP,,1/28/2020,,,"Phosphorus, Total (as P)",Cancel,Cancel,µg/L,,Non-City Owned,NY0098621
K-2000355-01,Hunter WTP,,1/28/2020,,11:58,Turbidity,Done,0.75,NTU,Hunter WTP,Non-City Owned,NY0241075
K-2000355-02,Prattsville WTP,,1/28/2020,,10:15,Turbidity,Done,0.15,NTU,Prattsville WTP,Non-City Owned,NY0263028
G-2000328-01,DTP,1/28/2020,1/29/2020,,11:32,Turbidity,Done,6.2,NTU,DELHI,Non-City Owned,NY0020265
G-2000328-01,DTP,1/28/2020,1/29/2020,,11:32,"Phosphorus, Total (as P)",Done,103,µg/L,DELHI,Non-City Owned,NY0020265
G-2000328-02,HTP,1/29/2020,1/29/2020,,12:32,Turbidity,Done,0.35,NTU,HOBART,Non-City Owned,NY0029254
G-2000328-02,HTP,1/29/2020,1/29/2020,,12:32,"Phosphorus, Total (as P)",Done,14,µg/L,HOBART,Non-City Owned,NY0029254
G-2000328-03,PANDE,1/28/2020,1/29/2020,,10:33,Turbidity,Done,0.35,NTU,Pepacton,Non-City Owned,NY0262854
G-2000328-03,PANDE,1/28/2020,1/29/2020,,10:33,"Phosphorus, Total (as P)",Done,34,µg/L,Pepacton,Non-City Owned,NY0262854
G-2000328-04,WSP,1/28/2020,1/29/2020,,9:34,Turbidity,Done,0.6,NTU,WALTON,Non-City Owned,NY0027154
G-2000328-04,WSP,1/28/2020,1/29/2020,,9:34,"Phosphorus, Total (as P)",Done,8,µg/L,WALTON,Non-City Owned,NY0027154
G-2000292-01,DCD,1/29/2020,1/29/2020,11:00,10:53,Chloride,Done,309,mg/L,MOUNTAINSIDE FARMS,Non-City Owned,NY0084590
G-2000292-01,DCD,1/29/2020,1/29/2020,11:00,10:53,Nitrate (as N),Done,3.07,mg/L,MOUNTAINSIDE FARMS,Non-City Owned,NY0084590
G-2000292-01,DCD,1/29/2020,1/29/2020,11:00,10:53,Turbidity,Done,0.15,NTU,MOUNTAINSIDE FARMS,Non-City Owned,NY0084590
G-2000292-01,DCD,1/29/2020,1/29/2020,11:00,10:53,"Phosphorus, Total (as P)",Done,16,µg/L,MOUNTAINSIDE FARMS,Non-City Owned,NY0084590
G-2000292-01,DCD,1/29/2020,1/29/2020,11:00,10:53,MBAS,Warning,<0.1,mg/L,MOUNTAINSIDE FARMS,Non-City Owned,NY0084590
G-2000292-02,PFTP,1/29/2020,1/29/2020,9:30,9:33,Turbidity,Done,0.3,NTU,Pepacton,Non-City Owned,NY0261521
G-2000292-02,PFTP,1/29/2020,1/29/2020,9:30,9:33,"Phosphorus, Total (as P)",Done,46,µg/L,Pepacton,Non-City Owned,NY0261521
G-2000292-03,STP,1/29/2020,1/29/2020,6:30,12:32,Turbidity,Done,0.15,NTU,STAMFORD,Non-City Owned,NY0021555
G-2000292-03,STP,1/29/2020,1/29/2020,6:30,12:32,"Phosphorus, Total (as P)",Done,7,µg/L,STAMFORD,Non-City Owned,NY0021555
G-2000328-01,DTP,1/28/2020,1/29/2020,,11:32,CBOD,Done,<3.0,mg/L,DELHI,Non-City Owned,NY0020265
G-2000328-01,DTP,1/28/2020,1/29/2020,,11:32,Total Kjeldahl Nitrogen,Warning,0.88,,DELHI,Non-City Owned,NY0020265
G-2000328-02,HTP,1/29/2020,1/29/2020,,12:32,CBOD,Done,<3.0,mg/L,HOBART,Non-City Owned,NY0029254
G-2000328-02,HTP,1/29/2020,1/29/2020,,12:32,"Solids, Total Dissolved",Warning,570,mg/L,HOBART,Non-City Owned,NY0029254
