OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
CFE-STS,Save the Sound,CFE-STS-UWS2020-016003,2019-08-07,07:45:00,EST,CFE-STS-BRR-06,STORET-835915756,,,,Salinity,,25,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009072,2019-10-25,08:29:00,EST,CFE-STS-BRR-05,STORET-835888506,,,,"Temperature, water",,15.99,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-016269,2019-09-27,07:35:00,EST,CFE-STS-EAB-O-07,STORET-835916022,,,,Salinity,,26.09,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011784,2019-06-14,05:53:00,EST,CFE-STS-EAB-O-08,STORET-835891218,,,,"Temperature, water",,18.11,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011484,2019-06-26,07:03:00,EST,CFE-STS-BRR-03,STORET-835890918,,,,"Temperature, water",,17.93,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-007244,2019-05-31,07:33:00,EST,CFE-STS-EAB-I-03,STORET-835705629,,,,Dissolved oxygen saturation,,81.2,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000347,2019-05-17,07:28:00,EST,CFE-STS-EAB-I-04,STORET-835272211,,,,Dissolved oxygen (DO),,7.62,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000093,2019-07-25,07:14:00,EST,CFE-STS-BRR-03,STORET-835271957,,,,Dissolved oxygen (DO),,4,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002834,2019-07-26,05:57:00,EST,CFE-STS-EAB-O-09,STORET-835274698,,,,Dissolved oxygen (DO),,6.18,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-016422,2019-05-24,07:20:00,EST,CFE-STS-HIB-02,STORET-835916175,,,,Salinity,,23.24,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-005007,2019-05-10,07:38:00,EST,CFE-STS-HIB-01,STORET-835697650,,,,Dissolved oxygen saturation,,91.8,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009278,2019-09-27,08:52:00,EST,CFE-STS-EAB-I-01,STORET-835888712,,,,"Temperature, water",,21.68,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-004816,2019-06-28,07:22:00,EST,CFE-STS-EAB-I-03,STORET-835697030,,,,Dissolved oxygen saturation,,53.5,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009311,2019-09-27,08:12:00,EST,CFE-STS-EAB-I-04,STORET-835888745,,,,"Temperature, water",,21.52,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-005012,2019-08-16,08:21:00,EST,CFE-STS-HIB-01,STORET-835697671,,,,Dissolved oxygen saturation,,77,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-013568,2019-09-11,08:28:00,EST,CFE-STS-BRR-06,STORET-835913321,,,,Salinity,,24.41,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002800,2019-07-12,06:31:00,EST,CFE-STS-EAB-O-06,STORET-835274664,,,,Dissolved oxygen (DO),,4.58,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-016425,2019-07-05,07:03:00,EST,CFE-STS-HIB-02,STORET-835916178,,,,Salinity,,24.99,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002969,2019-05-24,07:20:00,EST,CFE-STS-HIB-02,STORET-835274833,,,,Dissolved oxygen (DO),,8.52,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002751,2019-09-13,08:02:00,EST,CFE-STS-EAB-I-01,STORET-835274615,,,,Dissolved oxygen (DO),,2.01,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-018293,2019-08-09,07:09:00,EST,CFE-STS-EAB-O-09,STORET-835924430,,,,Turbidity,,2.79,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-020703,2019-05-24,07:34:00,EST,CFE-STS-HIB-01,STORET-835926840,,,,Turbidity,,3.65,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000535,2019-08-16,08:21:00,EST,CFE-STS-HIB-01,STORET-835272399,,,,Dissolved oxygen (DO),,5.5,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002971,2019-06-21,06:39:00,EST,CFE-STS-HIB-02,STORET-835274835,,,,Dissolved oxygen (DO),,5.25,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-007272,2019-08-23,07:52:00,EST,CFE-STS-EAB-O-05,STORET-835705731,,,,Dissolved oxygen saturation,,24.6,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009487,2019-06-07,07:10:00,EST,CFE-STS-HIB-01,STORET-835888921,,,,"Temperature, water",,18.49,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011760,2019-05-17,06:48:00,EST,CFE-STS-EAB-O-06,STORET-835891194,,,,"Temperature, water",,14.03,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-020545,2019-06-28,06:30:00,EST,CFE-STS-EAB-O-06,STORET-835926682,,,,Turbidity,,2.87,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000074,2019-07-09,,,CFE-STS-BRR-01,STORET-835271938,,,,Dissolved oxygen (DO),,4.84,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011519,2019-10-25,08:20:00,EST,CFE-STS-BRR-06,STORET-835890953,,,,"Temperature, water",,16.09,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002806,2019-10-18,08:01:00,EST,CFE-STS-EAB-O-06,STORET-835274670,,,,Dissolved oxygen (DO),,7.84,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009363,2019-09-13,06:41:00,EST,CFE-STS-EAB-O-09,STORET-835888797,,,,"Temperature, water",,21.97,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-004824,2019-05-17,07:28:00,EST,CFE-STS-EAB-I-04,STORET-835697058,,,,Dissolved oxygen saturation,,85.3,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009507,2019-07-05,06:52:00,EST,CFE-STS-HIB-03,STORET-835888941,,,,"Temperature, water",,21.25,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009334,2019-05-31,06:32:00,EST,CFE-STS-EAB-O-07,STORET-835888768,,,,"Temperature, water",,16.88,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009067,2019-08-07,07:53:00,EST,CFE-STS-BRR-05,STORET-835888501,,,,"Temperature, water",,22.77,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-004553,2019-08-07,08:21:00,EST,CFE-STS-BRR-01,STORET-835696162,,,,Dissolved oxygen saturation,,70.4,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-007438,2019-05-24,07:34:00,EST,CFE-STS-HIB-01,STORET-835706249,,,,Dissolved oxygen saturation,,95.2,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-016229,2019-05-17,07:28:00,EST,CFE-STS-EAB-I-04,STORET-835915982,,,,Salinity,,21.25,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-004832,2019-09-13,07:25:00,EST,CFE-STS-EAB-I-04,STORET-835697090,,,,Dissolved oxygen saturation,,42.3,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011934,2019-06-07,07:02:00,EST,CFE-STS-HIB-02,STORET-835891368,,,,"Temperature, water",,16.58,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011757,2019-08-09,07:53:00,EST,CFE-STS-EAB-O-05,STORET-835891191,,,,"Temperature, water",,23.25,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-015979,2019-09-27,08:50:00,EST,CFE-STS-BRR-03,STORET-835915732,,,,Salinity,,25.25,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002773,2019-09-13,07:39:00,EST,CFE-STS-EAB-I-03,STORET-835274637,,,,Dissolved oxygen (DO),,2.36,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-018230,2019-08-23,08:20:00,EST,CFE-STS-EAB-I-03,STORET-835924367,,,,Turbidity,,6.08,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002549,2019-07-25,06:48:00,EST,CFE-STS-BRR-06,STORET-835274413,,,,Dissolved oxygen (DO),,3.32,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002970,2019-06-07,07:02:00,EST,CFE-STS-HIB-02,STORET-835274834,,,,Dissolved oxygen (DO),,7.27,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011479,2019-08-23,08:18:00,EST,CFE-STS-BRR-02,STORET-835890913,,,,"Temperature, water",,24,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-004558,2019-10-25,09:00:00,EST,CFE-STS-BRR-01,STORET-835696180,,,,Dissolved oxygen saturation,,74.7,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011709,2019-06-14,07:35:00,EST,CFE-STS-EAB-I-01,STORET-835891143,,,,"Temperature, water",,19.93,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011721,2019-06-28,07:35:00,EST,CFE-STS-EAB-I-02,STORET-835891155,,,,"Temperature, water",,22.21,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-004835,2019-05-17,07:03:00,EST,CFE-STS-EAB-O-05,STORET-835697100,,,,Dissolved oxygen saturation,,98,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000075,2019-07-25,07:27:00,EST,CFE-STS-BRR-01,STORET-835271939,,,,Dissolved oxygen (DO),,5.01,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-020536,2019-06-28,06:46:00,EST,CFE-STS-EAB-O-05,STORET-835926673,,,,Turbidity,,2.22,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-018441,2019-10-25,08:35:00,EST,CFE-STS-HIB-03,STORET-835924578,,,,Turbidity,,1.27,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000316,2019-06-14,07:35:00,EST,CFE-STS-EAB-I-01,STORET-835272180,,,,Dissolved oxygen (DO),,4.5,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-016256,2019-08-23,07:41:00,EST,CFE-STS-EAB-O-06,STORET-835916009,,,,Salinity,,25.68,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-002764,2019-10-18,08:47:00,EST,CFE-STS-EAB-I-02,STORET-835274628,,,,Dissolved oxygen (DO),,6.12,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-004565,2019-09-27,08:59:00,EST,CFE-STS-BRR-02,STORET-835696203,,,,Dissolved oxygen saturation,,77.5,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-020529,2019-08-23,08:07:00,EST,CFE-STS-EAB-I-04,STORET-835926666,,,,Turbidity,,2.85,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000388,2019-10-18,07:52:00,EST,CFE-STS-EAB-O-07,STORET-835272252,,,,Dissolved oxygen (DO),,7.56,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011944,2019-06-21,06:27:00,EST,CFE-STS-HIB-03,STORET-835891378,,,,"Temperature, water",,18.53,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009059,2019-08-23,08:01:00,EST,CFE-STS-BRR-04,STORET-835888493,,,,"Temperature, water",,24.14,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-013519,2019-07-09,,,CFE-STS-BRR-01,STORET-835913272,,,,Salinity,,21.36,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-020490,2019-05-31,08:01:00,EST,CFE-STS-EAB-I-01,STORET-835926627,,,,Turbidity,,4.56,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009352,2019-09-13,06:50:00,EST,CFE-STS-EAB-O-08,STORET-835888786,,,,"Temperature, water",,22.26,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000121,2019-08-07,07:45:00,EST,CFE-STS-BRR-06,STORET-835271985,,,,Dissolved oxygen (DO),,4.84,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-017990,2019-08-07,08:21:00,EST,CFE-STS-BRR-01,STORET-835924127,,,,Turbidity,,9.05,NTU,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009049,2019-08-07,08:10:00,EST,CFE-STS-BRR-03,STORET-835888483,,,,"Temperature, water",,22.94,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-015958,2019-08-07,08:21:00,EST,CFE-STS-BRR-01,STORET-835915711,,,,Salinity,,23.18,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009031,2019-08-07,08:21:00,EST,CFE-STS-BRR-01,STORET-835888465,,,,"Temperature, water",,22.73,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011803,2019-10-18,07:30:00,EST,CFE-STS-EAB-O-09,STORET-835891237,,,,"Temperature, water",,15.89,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-000352,2019-07-26,06:55:00,EST,CFE-STS-EAB-I-04,STORET-835272216,,,,Dissolved oxygen (DO),,5.27,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-009300,2019-09-27,08:27:00,EST,CFE-STS-EAB-I-03,STORET-835888734,,,,"Temperature, water",,21.59,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-016287,2019-07-26,05:57:00,EST,CFE-STS-EAB-O-09,STORET-835916040,,,,Salinity,,24.43,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-013847,2019-06-14,05:42:00,EST,CFE-STS-EAB-O-09,STORET-835913600,,,,Salinity,,23.57,ppt,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-005014,2019-09-20,08:06:00,EST,CFE-STS-HIB-01,STORET-835697679,,,,Dissolved oxygen saturation,,84.6,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-007445,2019-10-25,08:53:00,EST,CFE-STS-HIB-01,STORET-835706279,,,,Dissolved oxygen saturation,,92.9,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011048,2019-10-18,08:11:00,EST,CFE-STS-EAB-O-05,STORET-835890482,,,,"Temperature, water",,14.47,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
CFE-STS,Save the Sound,CFE-STS-UWS2020-011940,2019-10-25,08:46:00,EST,CFE-STS-HIB-02,STORET-835891374,,,,"Temperature, water",,15.37,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
